#libraryId	excluded	comment	annotatorId	lastModificationDate
SRX6936042	TRUE	0 reads mapped to the transcriptome	JW	2024-02-29
SRX6936043	TRUE	0 reads mapped to the transcriptome	JW	2024-02-29
SRX7869893	TRUE	0 reads mapped to the transcriptome	JW	2024-02-29
SRX7869895	TRUE	0 reads mapped to the transcriptome	JW	2024-02-29
ERX6700418	TRUE	species not yet in Bgee 15.2	JW	2024-02-29
ERX6700419	TRUE	species not yet in Bgee 15.2	JW	2024-02-29
ERX3984854	TRUE	No barcodes annotated for this library	JW	2024-03-05
ERX3984875	TRUE	No barcodes annotated for this library	JW	2024-03-05
SRX12770673	TRUE	No barcodes annotated for this library	JW	2024-03-05
SRX12770674	TRUE	No barcodes annotated for this library	JW	2024-03-05
SRX12770675	TRUE	No barcodes annotated for this library	JW	2024-03-05
SRX12770676	TRUE	No barcodes annotated for this library	JW	2024-03-05
SRX12770677	TRUE	No barcodes annotated for this library	JW	2024-03-05
SRX12770678	TRUE	No barcodes annotated for this library	JW	2024-03-05
