#UnmappedId	UnmappedName	UberonID	UberonName	Comment
UBERON:0036272	bilaminar omphalopleure	UBERON:0001987	placenta	
UBERON:0036273	trilaminar omphalopleure	UBERON:0001987	placenta	
UBERON:4300174	actinopterygian pyloric caecum	UBERON:0009854	digestive tract diverticulum	
UBERON:6003007	insect adult head	UBERON:0000033	head	
AcarDv:0000001	lizard life cycle	UBERON:0000104	life cycle	
AcarDv:0000002	prenatal stage	UBERON:0000068	embryo stage	
BtauDv:0000001	cow life cycle	UBERON:0000104	life cycle	
BtauDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
CfamDv:0000001	dog life cycle	UBERON:0000104	life cycle	
CfamDv:0000003	immature stage	UBERON:0000112	sexually immature stage	
CfamDv:0000004	mature stage	UBERON:0000113	post-juvenile adult stage	
CfamDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
CfamDv:0000006	aged stage	UBERON:0007222	late adult stage	
CporDv:0000001	cavy life cycle	UBERON:0000104	life cycle	
CporDv:0000004	mature stage	UBERON:0000113	post-juvenile adult stage	
CporDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
DsimDv:0000002	embryonic stage	UBERON:0000068	embryo stage	
DvirDv:0000005	fully formed stage	UBERON:0000066	fully formed stage	
EcabDv:0000001	horse life cycle	UBERON:0000104	life cycle	
EcabDv:0000002	prenatal stage	UBERON:0000068	embryo stage	
EcabDv:0000003	immature stage	UBERON:0000112	sexually immature stage	
EcabDv:0000004	mature stage	UBERON:0000113	post-juvenile adult stage	
EcabDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
EcabDv:0000006	aged stage	UBERON:0007222	late adult stage	
FBdv:00005333	late embryonic stage	UBERON:0007220	late embryonic stage	
FBdv:00005336	larval stage	UBERON:0000069	larval stage	
FBdv:00005349	pupal stage	UBERON:0000070	pupal stage	
FBdv:00005369	adult stage	UBERON:0000066	fully formed stage	
FBdv:00007026	mature adult stage	UBERON:0000066	fully formed stage	
FcatDv:0000001	cat life cycle	UBERON:0000104	life cycle	
FcatDv:0000002	prenatal stage	UBERON:0000068	embryo stage	
FcatDv:0000003	immature stage	UBERON:0000112	sexually immature stage	
FcatDv:0000004	mature stage	UBERON:0000113	post-juvenile adult stage	
FcatDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
GgalDv:0000005	juvenile stage	UBERON:0034919	juvenile stage	
HsapDv:0000037	fetal stage	UBERON:0007220	late embryonic stage	
HsapDv:0000252	111-year-old human stage	UBERON:0007222	late adult stage	
MdomDv:0000006	mature stage	UBERON:0000113	post-juvenile adult stage	
MdomDv:0000007	adulthood stage	UBERON:0018241	prime adult stage	
MdomDv:0000041	16-day-old stage	UBERON:0034920	infant stage	
MdomDv:0000043	18-day-old stage	UBERON:0034920	infant stage	
MdomDv:0000045	20-day-old stage	UBERON:0034920	infant stage	
MmulDv:0000001	rhesus life cycle	UBERON:0000104	life cycle	
MmulDv:0000022	adulthood stage	UBERON:0018241	prime adult stage	
MmusDv:0000001	mouse life cycle	UBERON:0000104	life cycle	
MmusDv:0000003	Theiler stage 01	UBERON:0000106	zygote stage	
MmusDv:0000036	Theiler stage 27	UBERON:0007221	neonate stage	
MmusDv:0000110	mature stage	UBERON:0000113	post-juvenile adult stage	
MmusDv:0000112	premature stage	UBERON:0000112	sexually immature stage	
OanaDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
OcunDv:0000001	rabbit life cycle	UBERON:0000104	life cycle	
OcunDv:0000002	prenatal stage	UBERON:0000068	embryo stage	
OcunDv:0000003	immature stage	UBERON:0000112	sexually immature stage	
OcunDv:0000004	mature stage	UBERON:0000113	post-juvenile adult stage	
OcunDv:0000005	adulthood stage	UBERON:0018241	prime adult stage	
PpanDv:0000005	juvenile stage	UBERON:0034919	juvenile stage	
PpanDv:0000016	mature stage	UBERON:0000113	post-juvenile adult stage	
PtroDv:0000001	chimpanzee life cycle	UBERON:0000104	life cycle	
RnorDv:0000001	rat life cycle	UBERON:0000104	life cycle	
RnorDv:0000014	infant stage	UBERON:0034920	infant stage	
RnorDv:0000015	mature stage	UBERON:0000113	post-juvenile adult stage	
SscrDv:0000001	pig life cycle	UBERON:0000104	life cycle	
SscrDv:0000002	prenatal stage	UBERON:0000068	embryo stage	
SscrDv:0000003	immature stage	UBERON:0000112	sexually immature stage	
SscrDv:0000004	suckling stage	UBERON:0018685	nursing stage	
SscrDv:0000005	juvenile stage	UBERON:0034919	juvenile stage	
SscrDv:0000006	mature stage	UBERON:0000113	post-juvenile adult stage	
SscrDv:0000007	adulthood stage	UBERON:0018241	prime adult stage	
SscrDv:0000009	first 0-6 postnatal days	UBERON:0007221	neonate stage	
SscrDv:0000026	29-day-old stage	UBERON:0018685	nursing stage	
SscrDv:0000027	30-day-old stage	UBERON:0018685	nursing stage	
WBls:0000041	adult Ce	UBERON:0000066	fully formed stage	
XAO:1000001	NF stage 1	UBERON:0000106	zygote stage	
XAO:1000011	NF stage 2 (2-cell)	UBERON:0007232	2 cell stage	
XAO:1000013	NF stage 3 (4-cell)	UBERON:0007233	4 cell stage	
XAO:1000014	NF stage 4 (8-cell)	UBERON:0007236	8 cell stage	
ZFS:0000044	adult	UBERON:0000113	post-juvenile adult stage	
ZFS:0000046	cleavage	UBERON:0000107	cleavage stage	
ZFS:0000048	larva	UBERON:0000069	larval stage	
ZFS:0000050	pharyngula	UBERON:0004707	pharyngula stage	
WBls:0000003	embryo Ce	UBERON:0000068	embryo stage	
WBls:0000004	proliferating embryo Ce	UBERON:0000068	embryo stage	
WBls:0000006	1-cell embryo Ce	UBERON:0000108	blastula stage	
WBls:0000007	2-cell embryo Ce	UBERON:0000108	blastula stage	
WBls:0000010	gastrulating embryo Ce	UBERON:0000109	gastrula stage	
WBls:0000023	Pool no. 1, C. elegans mixed-stage wild-type larvae	UBERON:0004729	nematode larval stage	or if  UBERON:0004729 is not in the db, please map to UBERON:0000069 (larval stage) instead
XAO:1000093	adult frog stage	UBERON:0000113	post-juvenile adult stage	
TnigDv:0000001	pufferfish life cycle	UBERON:0000104	life cycle	
TnigDv:0000004	mature stage	UBERON:0000113	post-juvenile adult stage	
TnigDv:0000010	gastrula stage	UBERON:0000109	gastrula stage	
TnigDv:0000015	segmentation stage	UBERON:0000110	neurula stage	
HsapDv:0000001	human life cycle	UBERON:0000104	life cycle	
OlatDv:0000010	developmental stage	UBERON:0000104	life cycle	
OlatDv:0000060	Medaka stage 3	UBERON:0007232	2 cell stage	
OlatDv:0000080	Medaka stage 5	UBERON:0007236	8 cell stage	
OlatDv:0000100	Medaka stage 7			
OlatDv:0000170	Medaka stage 14	UBERON:0000109	gastrula stage	
OlatDv:0000180	Medaka stage 15	UBERON:0000109	gastrula stage	
OlatDv:0000190	Medaka stage 16	UBERON:0000109	gastrula stage	
OlatDv:0000200	Medaka stage 17	UBERON:0000110	neurula stage	
OlatDv:0000210	Medaka stage 18	UBERON:0000110	neurula stage	
OlatDv:0000240	Medaka stage 21			
OlatDv:0000260	Medaka stage 23			
OlatDv:0000270	Medaka stage 24			
OlatDv:0000310	Medaka stage 28			
OlatDv:0000350	Medaka stage 32			
OlatDv:0000370	Medaka stage 34			
OlatDv:0000390	Medaka stage 36			
OlatDv:0000410	Medaka stage 38			
OlatDv:0000430	Medaka stage 40			
